POA_CODE,STATE,Weighted average income,Weighted average IRSAD quartile,Mortgage percentage unaffordability,Rent percentage unaffordability,House,Semi-detached,Apartment,House percentage,Semi-detached percentrage,Apartment percentage,Owned outright percentage,Mortage percentage,Renting percentage
2000,NSW,137407.8528,2.288814691,38.91797557,42.4873905,43,365,15946,0.262932616,2.231869879,97.50519751,14.54081633,11.4268121,74.03237157
2007,NSW,111756.0947,2.258330471,27.92792793,41.53005464,3,427,3257,0.081366965,11.58123135,88.33740168,13.29206118,13.14639476,73.56154406
2008,NSW,111511.3333,2.246089447,27.14776632,50.937298,46,1147,4640,0.788616492,19.6639808,79.54740271,10.76342654,14.35863293,74.87794052
2009,NSW,153650.392,2.562781481,24.80874317,32.52336449,0,387,6530,0,5.594911089,94.40508891,18.41627316,18.2164911,63.36723574
2010,NSW,150102.0508,2.460428909,18.73071838,31.45796292,153,3982,12222,0.935379348,24.34431742,74.72030323,15.29438822,19.09690279,65.60870898
2011,NSW,135287.8899,2.304468996,23.03448276,35.46862266,43,1195,12030,0.324088031,9.006632499,90.66927947,18.36367273,15.90318064,65.73314663
2015,NSW,163400.5123,2.824035155,17.38865162,27.52895753,336,1732,4001,5.53633218,28.53847421,65.92519361,12.43295019,33.63984674,53.92720307
2016,NSW,136262.3744,2.394570599,15.3705398,31.17664761,97,1938,5084,1.36255092,27.22292457,71.41452451,15.06682868,20.88179136,64.05137997
2017,NSW,124328.7102,2.417920023,27.17927632,35.60153584,70,1290,16152,0.399725902,7.366377341,92.23389676,6.934912952,19.09268222,73.97240483
2018,NSW,121708.397,2.493709916,25.02691066,35.94195387,2175,380,6895,23.01587302,4.021164021,72.96296296,22.12010575,25.5948634,52.28503084
2019,NSW,139997.1821,2.714111922,22.70179372,35.05976096,1425,1115,3094,25.29286475,19.79055733,54.91657792,20.24175374,40.60643311,39.15181315
2020,NSW,131586.8962,2.57683714,28.40336134,36.65329242,1850,364,7300,19.44502838,3.825940719,76.7290309,16.49303376,24.91527551,58.59169072
2021,NSW,177736.358,2.821586238,23.45343304,34.2300885,540,3945,3381,6.864988558,50.1525553,42.98245614,26.92070349,25.28540574,47.79389077
2022,NSW,162688.8215,2.666546177,24.19659735,34.83459546,704,1636,4031,11.05007063,25.67885732,63.27107205,27.87456446,21.95121951,50.17421603
